DATE,CLOSE
20240412,2681.82
20240415,2670.43
20240416,2609.63
20240417,2584.18
20240418,2634.70
20240419,2591.86
20240422,2629.44
20240423,2623.02
20240424,2675.75
20240425,2628.62
20240426,2656.33
20240429,2687.44
20240430,2692.06
20240502,2683.65
20240503,2676.63
20240507,2734.36
20240508,2745.05
20240509,2712.14
20240510,2727.63
20240513,2727.21
20240514,2730.34
20240516,2753.00
20240517,2724.62
20240520,2742.14
20240521,2724.18
20240522,2723.46
20240523,2721.81
20240524,2687.60
20240527,2722.99
20240528,2722.85
20240529,2677.30
20240530,2635.44
20240531,2636.52
20240603,2682.52
20240604,2662.10
20240605,2689.50
20240607,2722.67
20240610,2701.17
20240611,2705.32
20240612,2728.17
20240613,2754.89
20240614,2758.42
20240617,2744.10
20240618,2763.92
20240619,2797.33
20240620,2807.63
20240621,2784.26
20240624,2764.73
20240625,2774.39
20240626,2792.05
20240627,2784.06
20240628,2797.82
20240701,2804.31
20240702,2780.86
20240703,2794.01
20240704,2824.94
20240705,2862.23
20240708,2857.76
20240709,2867.38
20240710,2867.99
20240711,2891.35
20240712,2857.00
20240715,2860.92
20240716,2866.09
20240717,2843.29
20240718,2824.35
20240719,2795.46
20240722,2763.51
20240723,2774.29
20240724,2758.71
20240725,2710.65
20240726,2731.90
20240729,2765.53
20240730,2738.19
20240731,2770.69
20240801,2777.68
20240802,2676.19
20240805,2441.55
20240806,2522.15
20240807,2568.41
20240808,2556.73
20240809,2588.43
20240812,2618.30
20240813,2621.50
20240814,2644.50
20240816,2697.23
20240819,2674.36
20240820,2696.63
20240821,2701.13
20240822,2707.67
20240823,2701.69
20240826,2698.01
20240827,2689.25
20240828,2689.83
20240829,2662.28
20240830,2674.31
20240902,2681.00
20240903,2664.63
20240904,2580.80
20240905,2575.50
20240906,2544.28
20240909,2535.93
20240910,2523.43
20240911,2513.37
20240912,2572.09
20240913,2575.41
20240919,2580.80
20240920,2593.37
20240923,2602.01
20240924,2631.68
20240925,2596.32
20240926,2671.57
20240927,2649.78
20240930,2593.27
20241002,2561.69
20241004,2569.71
20241007,2610.38
20241008,2594.36
20241010,2599.16
20241011,2596.91
20241014,2623.29
20241015,2633.45
20241016,2610.36
20241017,2609.30
20241018,2593.82
20241021,2604.92
20241022,2570.70
20241023,2599.62
20241024,2581.03
20241025,2583.27
20241028,2612.43
20241029,2617.80
20241030,2593.79
20241031,2556.15
20241101,2542.36
20241104,2588.97
20241105,2576.88
20241106,2563.51
20241107,2564.63
20241108,2561.15
20241111,2531.66
20241112,2482.57
20241113,2417.08
20241114,2418.86
20241115,2416.86
20241118,2469.07
20241119,2471.95
20241120,2482.29
20241121,2480.63
